shareId	step	status	timestamp
JTSciawp	skeleton	done	2026-08-23T07:10:30+00:00
JTSciawp	chunk01	done	2026-08-23T13:31:34+00:00
JTSciawp	chunk02	done	2026-08-23T13:39:56+00:00
JTSciawp	chunk03	done	2026-08-23T13:40:53+00:00
